tagid,survey_name,CAMM_1,CAMM_10,CAMM_2,CAMM_3,CAMM_4,CAMM_5,CAMM_6,CAMM_7,CAMM_8,CAMM_9,survey_type,survey_date,CAMM_N,CAMM_missing,CAMM_missing_perc,CAMM_mean,CAMM_W3,wave
TAG001,W3 Home Qs - V1,2,3,3,2,2,2,2,2,2,2,Home,2/16/19,10,0,0,2.2,22,W3
TAG002,W3 Home Qs - V1,2,2,3,1,2,2,2,1,1,1,Home,1/8/19,10,0,0,1.7,17,W3
TAG003,W3 Home Qs - V3,2,2,2,1,1,1,3,2,0,3,Home,10/4/19,10,0,0,1.7,17,W3
TAG005,W3 Home Qs - V3,4,3,4,4,3,3,2,3,2,3,Home,10/28/19,10,0,0,3.1,31,W3
TAG007,W3 Home Qs - V3,2,3,1,2,2,2,2,2,3,2,Home,7/27/19,10,0,0,2.1,21,W3
TAG008,W3 Home Qs - V1,2,2,2,2,2,1,1,1,1,1,Home,2/7/19,10,0,0,1.5,15,W3
TAG009,W3 Home Qs - Current V4,2,3,2,1,1,2,0,0,0,0,Home,11/8/19,10,0,0,1.1,11,W3
TAG010,W3 - Home Qs - V2 IN LAB,3,4,4,4,4,4,4,4,3,4,Home,8/13/19,10,0,0,3.8,38,W3
TAG018,W3 Home Qs - V3,3,3,3,3,4,4,2,3,3,3,Home,8/27/19,10,0,0,3.1,31,W3
TAG019,W3 Home Qs - V1,2,2,2,1,2,2,2,1,1,1,Home,4/15/19,10,0,0,1.6,16,W3
TAG020,W3 Home Qs - V1,3,3,2,2,3,3,2,3,3,3,Home,3/30/19,10,0,0,2.7,27,W3
TAG026,W3 Home Qs - V1,2,2,3,3,1,1,3,1,1,1,Home,2/2/19,10,0,0,1.8,18,W3
TAG027,W3 Home Qs - V3,3,3,3,3,2,2,1,2,1,2,Home,8/5/19,10,0,0,2.2,22,W3
TAG028,W3 Home Qs - V3,2,2,4,2,2,1,1,1,2,4,Home,9/28/19,10,0,0,2.1,21,W3
TAG030,W3 Home Qs - V1,4,4,4,4,4,4,4,4,4,4,Home,2/22/19,10,0,0,4,40,W3
TAG032,W3 Home Qs - V3,2,1,2,2,2,1,1,1,1,1,Home,8/9/19,10,0,0,1.4,14,W3
TAG033,W3 Home Qs - V1,1,3,1,2,2,1,2,2,1,1,Home,3/27/19,10,0,0,1.6,16,W3
TAG034,W3 Home Qs - V1,1,3,2,3,3,1,0,2,2,3,Home,3/16/19,10,0,0,2,20,W3
TAG035,W3 Home Qs - V1,1,2,2,1,3,1,2,2,3,3,Home,2/10/19,10,0,0,2,20,W3
TAG037,W3 Home Qs - V1,4,4,4,3,4,3,2,4,2,3,Home,3/31/19,10,0,0,3.3,33,W3
TAG040,W3 Home Qs - V3,2,2,3,2,2,2,2,2,2,2,Home,10/19/19,10,0,0,2.1,21,W3
TAG041,W3 - Home Qs - V2 IN LAB,3,1,3,3,3,3,3,3,3,3,Home,6/8/19,10,0,0,2.8,28,W3
TAG044,W3 Home Qs - V1,3,3,1,2,2,3,3,2,2,1,Home,5/19/19,10,0,0,2.2,22,W3
TAG045,W3 Home Qs - V3,4,4,3,4,4,4,4,4,3,4,Home,8/12/19,10,0,0,3.8,38,W3
TAG046,W3 Home Qs - Current V4,2,2,2,2,2,2,2,2,2,2,Home,11/15/19,10,0,0,2,20,W3
TAG047,W3 Home Qs - V3,4,4,2,4,4,2,0,4,4,3,Home,10/11/19,10,0,0,3.1,31,W3
TAG048,W3 Home Qs - Current V4,0,2,1,1,1,1,0,0,2,0,Home,1/6/20,10,0,0,0.8,8,W3
TAG049,W3 Home Qs - V3,3,2,2,2,2,2,1,3,2,3,Home,9/19/19,10,0,0,2.2,22,W3
TAG050,W3 Home Qs - V1,1,1,1,1,2,1,0,1,2,2,Home,4/25/19,10,0,0,1.2,12,W3
TAG051,W3 Home Qs - V1,4,4,3,4,4,2,2,3,3,4,Home,4/27/19,10,0,0,3.3,33,W3
TAG052,W3 - Home Qs - V2 IN LAB,2,2,2,2,2,2,2,2,2,2,Home,8/14/19,10,0,0,2,20,W3
TAG053,W3 Home Qs - V3,1,3,0,0,1,4,1,1,1,1,Home,6/4/19,10,0,0,1.3,13,W3
TAG054,W3 - Home Qs - V2 IN LAB,4,4,2,3,4,4,4,4,4,4,Home,7/15/19,10,0,0,3.7,37,W3
TAG055,W3 Home Qs - V3,1,3,3,3,2,3,2,1,1,3,Home,5/31/19,10,0,0,2.2,22,W3
TAG056,W3 Home Qs - V3,3,4,2,3,2,3,2,4,1,3,Home,8/24/19,10,0,0,2.7,27,W3
TAG057,W3 Home Qs - V1,3,2,4,3,1,1,2,2,2,3,Home,3/27/19,10,0,0,2.3,23,W3
TAG058,W3 Home Qs - V3,0,3,1,2,3,2,2,1,0,2,Home,6/1/19,10,0,0,1.6,16,W3
TAG059,W3 Home Qs - V3,2,2,3,1,2,2,3,2,3,2,Home,6/28/19,10,0,0,2.2,22,W3
TAG060,W3 Home Qs - V1,4,4,3,4,4,4,4,4,3,4,Home,5/2/19,10,0,0,3.8,38,W3
TAG062,W3 Home Qs - V3,3,1,4,3,3,1,2,2,2,2,Home,9/19/19,10,0,0,2.3,23,W3
TAG064,W3 - Home Qs - V2 IN LAB,3,3,3,4,3,3,3,4,3,4,Home,6/27/19,10,0,0,3.3,33,W3
TAG065,W3 Home Qs - V3,2,2,2,1,2,2,3,3,2,4,Home,6/26/19,10,0,0,2.3,23,W3
TAG066,W3 Home Qs - V3,2,3,3,4,3,3,3,2,2,2,Home,8/3/19,10,0,0,2.7,27,W3
TAG067,W3 Home Qs - Current V2,4,3,3,3,3,3,3,3,3,3,Home,5/17/19,10,0,0,3.1,31,W3
TAG068,W3 Home Qs - Current V4,2,4,4,3,2,3,3,4,4,3,Home,1/4/20,10,0,0,3.2,32,W3
TAG069,W3 Home Qs - V1,1,3,1,3,2,3,2,2,3,3,Home,5/11/19,10,0,0,2.3,23,W3
TAG071,W3 Home Qs - V3,4,4,4,4,4,4,4,4,2,4,Home,10/13/19,10,0,0,3.8,38,W3
